Tarokka_Name,Fortune,Result,Tarokka_Card_URL,Rank,Tarokka_Card_Suit,Playing_Card_URL,Playing_Card_Suit,Index,Fortune2,Result2
Avenger,"The treasure lies in a dragon’s house, in hands once clean and now corrupted.","The treasure is in the possession of Vladimir Horngaard in Argynvostholt (chapter 7, area Q36).",Avenger.jpg,1,Swords,AS.png,Spade,0,,
Paladin,"I see a sleeping prince, a servant of light and the brother of darkness. The treasure lies with him.","The treasure lies in Sergei’s tomb (chapter 4, area K85).",Paladin.jpg,2,Swords,2S.png,Spade,1,,
Soldier,Go to the mountains. Climb the white tower guarded by golden knights.,"The treasure lies on the rooftop of the Tsolenka Pass guard tower (chapter 9, area T6).",Soldier.jpg,3,Swords,3S.png,Spade,2,,
Mercenary,"The thing you seek lies with the dead, under mountains of gold coins.","The treasure lies in a crypt in Castle Ravenloft (chapter 4, area K84, crypt 31).",Mercenary.jpg,4,Swords,4S.png,Spade,3,,
Myrmidon,Look for a den of wolves in the hills overlooking a mountain lake. The treasure belongs to Mother Night.,"The treasure lies in the shrine of Mother Night in the werewolf den (chapter 15, area Z7).",Myrmidon.jpg,5,Swords,5S.png,Spade,4,,
Berserker,"Find the Mad Dog’s crypt. The treasure lies within, beneath blackened bones.","The treasure lies in the crypt of General Kroval “Mad Dog” Grislek (chapter 4, area K84, crypt 38).",Berserker.jpg,6,Swords,6S.png,Spade,5,,
Hooded One,"I see a faceless god. He awaits you at the end of a long and winding road, deep in the mountains.","The treasure is inside the head of the giant statue in the Amber Temple (chapter 13, area X5a).",Hooded_One.jpg,7,Swords,7S.png,Spade,6,,
Dictator,I see a throne fit for a king.,"The treasure lies in Castle Ravenloft’s audience hall (chapter 4, area K25).",Dictator.jpg,8,Swords,8S.png,Spade,7,,
Torturer,"There is a town where all is not well. There you will find a house of corruption, and within, a dark room full of still ghosts.","The treasure is hidden in the attic of the burgomaster’s mansion in Vallaki (chapter 5, area N3s).",Torturer.jpg,9,Swords,9S.png,Spade,8,,
Warrior,"That which you seek lies in the womb of darkness, the devil’s lair: the one place to which he must return.","The treasure lies in Strahd’s tomb (chapter 4, area K86).",Warrior.jpg,10,Swords,10S.png,Spade,9,,
Transmuter,"Go to a place of dizzying heights, where the stone itself is alive!","The treasure lies in Castle Ravenloft’s north tower peak (chapter 4, area K60).",Transmuter.jpg,1,Stars,AC.png,Club,10,,
Diviner,Look to the one who sees all. The treasure is hidden in her camp.,"The treasure lies in Madam Eva’s encampment (chapter 2, area G). If she is the one performing the card reading, she says, “I think the treasure is under my very nose!”",Diviner.jpg,2,Stars,2C.png,Club,11,,
Enchanter,I see a kneeling woman — a rose of great beauty plucked too soon. The master of the marsh knows of whom I speak.,"The treasure lies under Marina’s monument in Berez (chapter 10, area U5). “The master of the marsh” refers to Burgomaster Lazlo Ulrich (area U2), whose ghost can point characters toward the monument.",Enchanter.jpg,3,Stars,3C.png,Club,12,,
Abjurer,I see a fallen house guarded by a great stone dragon. Look to the highest peak.,"The treasure lies in the beacon of Argynvostholt (chapter 7, area Q53). “Great stone dragon” refers to the statue in area Q1.",Abjurer.jpg,4,Stars,4C.png,Club,13,,
